Using TensorFlow backend.
2018-02-01 18:25:19.097888: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

24576/50000 [=============>................] - ETA: 4s - loss: 0.6643
24896/50000 [=============>................] - ETA: 4s - loss: 0.6642
25216/50000 [==============>...............] - ETA: 4s - loss: 0.6642
25536/50000 [==============>...............] - ETA: 4s - loss: 0.6641
25856/50000 [==============>...............] - ETA: 4s - loss: 0.6639
26176/50000 [==============>...............] - ETA: 4s - loss: 0.6638
26496/50000 [==============>...............] - ETA: 4s - loss: 0.6637
26816/50000 [===============>..............] - ETA: 4s - loss: 0.6637
27136/50000 [===============>..............] - ETA: 4s - loss: 0.6636
27456/50000 [===============>..............] - ETA: 4s - loss: 0.6635
27776/50000 [===============>..............] - ETA: 3s - loss: 0.6635
28096/50000 [===============>..............] - ETA: 3s - loss: 0.6634
28416/50000 [================>.............] - ETA: 3s - loss: 0.6632
28736/50000 [================>.............] - ETA: 3s - loss: 0.6632
29056/50000 [================>.............] - ETA: 3s - loss: 0.6631
29376/50000 [================>.............] - ETA: 3s - loss: 0.6630
29696/50000 [================>.............] - ETA: 3s - loss: 0.6629
30016/50000 [=================>............] - ETA: 3s - loss: 0.6629
30336/50000 [=================>............] - ETA: 3s - loss: 0.6628
30656/50000 [=================>............] - ETA: 3s - loss: 0.6627
30976/50000 [=================>............] - ETA: 3s - loss: 0.6627
31296/50000 [=================>............] - ETA: 3s - loss: 0.6626
31616/50000 [=================>............] - ETA: 3s - loss: 0.6625
31936/50000 [==================>...........] - ETA: 3s - loss: 0.6624
32256/50000 [==================>...........] - ETA: 3s - loss: 0.6623
32576/50000 [==================>...........] - ETA: 3s - loss: 0.6623
32896/50000 [==================>...........] - ETA: 3s - loss: 0.6622
33216/50000 [==================>...........] - ETA: 2s - loss: 0.6621
33536/50000 [===================>..........] - ETA: 2s - loss: 0.6620
33856/50000 [===================>..........] - ETA: 2s - loss: 0.6619
34176/50000 [===================>..........] - ETA: 2s - loss: 0.6619
34496/50000 [===================>..........] - ETA: 2s - loss: 0.6618
34816/50000 [===================>..........] - ETA: 2s - loss: 0.6617
35136/50000 [====================>.........] - ETA: 2s - loss: 0.6616
35456/50000 [====================>.........] - ETA: 2s - loss: 0.6615
35776/50000 [====================>.........] - ETA: 2s - loss: 0.6615
36096/50000 [====================>.........] - ETA: 2s - loss: 0.6614
36416/50000 [====================>.........] - ETA: 2s - loss: 0.6614
36736/50000 [=====================>........] - ETA: 2s - loss: 0.6613
37056/50000 [=====================>........] - ETA: 2s - loss: 0.6611
37376/50000 [=====================>........] - ETA: 2s - loss: 0.6611
37696/50000 [=====================>........] - ETA: 2s - loss: 0.6610
38016/50000 [=====================>........] - ETA: 2s - loss: 0.6609
38336/50000 [======================>.......] - ETA: 2s - loss: 0.6609
38656/50000 [======================>.......] - ETA: 2s - loss: 0.6608
38976/50000 [======================>.......] - ETA: 1s - loss: 0.6608
39296/50000 [======================>.......] - ETA: 1s - loss: 0.6607
39616/50000 [======================>.......] - ETA: 1s - loss: 0.6607
39936/50000 [======================>.......] - ETA: 1s - loss: 0.6606
40256/50000 [=======================>......] - ETA: 1s - loss: 0.6606
40576/50000 [=======================>......] - ETA: 1s - loss: 0.6605
40896/50000 [=======================>......] - ETA: 1s - loss: 0.6605
41216/50000 [=======================>......] - ETA: 1s - loss: 0.6604
41536/50000 [=======================>......] - ETA: 1s - loss: 0.6603
41856/50000 [========================>.....] - ETA: 1s - loss: 0.6602
42176/50000 [========================>.....] - ETA: 1s - loss: 0.6602
42496/50000 [========================>.....] - ETA: 1s - loss: 0.6601
42816/50000 [========================>.....] - ETA: 1s - loss: 0.6600
43072/50000 [========================>.....] - ETA: 1s - loss: 0.6599
43392/50000 [=========================>....] - ETA: 1s - loss: 0.6599
43712/50000 [=========================>....] - ETA: 1s - loss: 0.6598
44032/50000 [=========================>....] - ETA: 1s - loss: 0.6597
44352/50000 [=========================>....] - ETA: 1s - loss: 0.6597
44672/50000 [=========================>....] - ETA: 0s - loss: 0.6596
44992/50000 [=========================>....] - ETA: 0s - loss: 0.6596
45312/50000 [==========================>...] - ETA: 0s - loss: 0.6595
45632/50000 [==========================>...] - ETA: 0s - loss: 0.6594
45952/50000 [==========================>...] - ETA: 0s - loss: 0.6594
46272/50000 [==========================>...] - ETA: 0s - loss: 0.6593
46592/50000 [==========================>...] - ETA: 0s - loss: 0.6592
46912/50000 [===========================>..] - ETA: 0s - loss: 0.6592
47232/50000 [===========================>..] - ETA: 0s - loss: 0.6591
47552/50000 [===========================>..] - ETA: 0s - loss: 0.6591
47872/50000 [===========================>..] - ETA: 0s - loss: 0.6590
48192/50000 [===========================>..] - ETA: 0s - loss: 0.6590
48512/50000 [============================>.] - ETA: 0s - loss: 0.6589
48832/50000 [============================>.] - ETA: 0s - loss: 0.6589
49152/50000 [============================>.] - ETA: 0s - loss: 0.6588
49472/50000 [============================>.] - ETA: 0s - loss: 0.6588
49792/50000 [============================>.] - ETA: 0s - loss: 0.6588
50000/50000 [==============================] - 10s 192us/step - loss: 0.6587 - val_loss: 0.6505
Epoch 3/50

   64/50000 [..............................] - ETA: 10s - loss: 0.6488
  384/50000 [..............................] - ETA: 9s - loss: 0.6514
  704/50000 [..............................] - ETA: 9s - loss: 0.6524
 1024/50000 [..............................] - ETA: 8s - loss: 0.6517
 1344/50000 [..............................] - ETA: 8s - loss: 0.6518
 1664/50000 [..............................] - ETA: 8s - loss: 0.6515
 1984/50000 [>.............................] - ETA: 8s - loss: 0.6516
 2304/50000 [>.............................] - ETA: 8s - loss: 0.6513
 2624/50000 [>.............................] - ETA: 8s - loss: 0.6512
 2944/50000 [>.............................] - ETA: 8s - loss: 0.6507
 3200/50000 [>.............................] - ETA: 8s - loss: 0.6507
 3520/50000 [=>............................] - ETA: 8s - loss: 0.6508
 3840/50000 [=>............................] - ETA: 8s - loss: 0.6509
 4160/50000 [=>............................] - ETA: 8s - loss: 0.6507
 4480/50000 [=>............................] - ETA: 8s - loss: 0.6506
 4800/50000 [=>............................] - ETA: 8s - loss: 0.6506
 5120/50000 [==>...........................] - ETA: 8s - loss: 0.6506
 5440/50000 [==>...........................] - ETA: 8s - loss: 0.6503
 5760/50000 [==>...........................] - ETA: 8s - loss: 0.6501
 6080/50000 [==>...........................] - ETA: 7s - loss: 0.6501
 6400/50000 [==>...........................] - ETA: 7s - loss: 0.6502
 6720/50000 [===>..........................] - ETA: 7s - loss: 0.6502
 7040/50000 [===>..........................] - ETA: 7s - loss: 0.6503
 7360/50000 [===>..........................] - ETA: 7s - loss: 0.6500
 7680/50000 [===>..........................] - ETA: 7s - loss: 0.6499
 8000/50000 [===>..........................] - ETA: 7s - loss: 0.6498
 8320/50000 [===>..........................] - ETA: 7s - loss: 0.6497
 8640/50000 [====>.........................] - ETA: 7s - loss: 0.6498
 8960/50000 [====>.........................] - ETA: 7s - loss: 0.6496
 9280/50000 [====>.........................] - ETA: 7s - loss: 0.6497
 9600/50000 [====>.........................] - ETA: 7s - loss: 0.6497
 9920/50000 [====>.........................] - ETA: 7s - loss: 0.6496
10240/50000 [=====>........................] - ETA: 7s - loss: 0.6495
10560/50000 [=====>........................] - ETA: 7s - loss: 0.6495
10880/50000 [=====>........................] - ETA: 7s - loss: 0.6495
11200/50000 [=====>........................] - ETA: 6s - loss: 0.6494
11520/50000 [=====>........................] - ETA: 6s - loss: 0.6494
11840/50000 [======>.......................] - ETA: 6s - loss: 0.6493
12160/50000 [======>.......................] - ETA: 6s - loss: 0.6494
12480/50000 [======>.......................] - ETA: 6s - loss: 0.6494
12800/50000 [======>.......................] - ETA: 6s - loss: 0.6493
13120/50000 [======>.......................] - ETA: 6s - loss: 0.6492
13440/50000 [=======>......................] - ETA: 6s - loss: 0.6491
13760/50000 [=======>......................] - ETA: 6s - loss: 0.6492
14080/50000 [=======>......................] - ETA: 6s - loss: 0.6491
14400/50000 [=======>......................] - ETA: 6s - loss: 0.6490
14720/50000 [=======>......................] - ETA: 6s - loss: 0.6489
15040/50000 [========>.....................] - ETA: 6s - loss: 0.6489
