Using TensorFlow backend.
2018-01-30 18:48:11.773928: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Reading TRAIN data...
Reading TEST data...
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

45056/50000 [==========================>...] - ETA: 0s - loss: 0.2197
46336/50000 [==========================>...] - ETA: 0s - loss: 0.2195
47616/50000 [===========================>..] - ETA: 0s - loss: 0.2194
48896/50000 [============================>.] - ETA: 0s - loss: 0.2192
50000/50000 [==============================] - 2s 49us/step - loss: 0.2191 - val_loss: 0.2108
Epoch 6/50

  256/50000 [..............................] - ETA: 2s - loss: 0.2086
 1536/50000 [..............................] - ETA: 2s - loss: 0.2095
 2816/50000 [>.............................] - ETA: 2s - loss: 0.2113
 4096/50000 [=>............................] - ETA: 2s - loss: 0.2119
 5376/50000 [==>...........................] - ETA: 1s - loss: 0.2117
 6656/50000 [==>...........................] - ETA: 1s - loss: 0.2113
 7936/50000 [===>..........................] - ETA: 1s - loss: 0.2111
 9216/50000 [====>.........................] - ETA: 1s - loss: 0.2112
10496/50000 [=====>........................] - ETA: 1s - loss: 0.2108
11776/50000 [======>.......................] - ETA: 1s - loss: 0.2108
13056/50000 [======>.......................] - ETA: 1s - loss: 0.2109
14336/50000 [=======>......................] - ETA: 1s - loss: 0.2108
15616/50000 [========>.....................] - ETA: 1s - loss: 0.2104
16896/50000 [=========>....................] - ETA: 1s - loss: 0.2103
18176/50000 [=========>....................] - ETA: 1s - loss: 0.2100
19456/50000 [==========>...................] - ETA: 1s - loss: 0.2100
20736/50000 [===========>..................] - ETA: 1s - loss: 0.2099
22016/50000 [============>.................] - ETA: 1s - loss: 0.2098
23296/50000 [============>.................] - ETA: 1s - loss: 0.2097
24576/50000 [=============>................] - ETA: 1s - loss: 0.2096
25856/50000 [==============>...............] - ETA: 1s - loss: 0.2093
27136/50000 [===============>..............] - ETA: 1s - loss: 0.2091
28416/50000 [================>.............] - ETA: 0s - loss: 0.2090
29696/50000 [================>.............] - ETA: 0s - loss: 0.2089
30976/50000 [=================>............] - ETA: 0s - loss: 0.2088
32256/50000 [==================>...........] - ETA: 0s - loss: 0.2086
33536/50000 [===================>..........] - ETA: 0s - loss: 0.2086
34816/50000 [===================>..........] - ETA: 0s - loss: 0.2085
36096/50000 [====================>.........] - ETA: 0s - loss: 0.2082
37376/50000 [=====================>........] - ETA: 0s - loss: 0.2081
