Using TensorFlow backend.
2018-02-04 01:39:11.458747: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

27264/50000 [===============>..............] - ETA: 2s - loss: 0.6635
27584/50000 [===============>..............] - ETA: 2s - loss: 0.6635
27904/50000 [===============>..............] - ETA: 2s - loss: 0.6634
28288/50000 [===============>..............] - ETA: 2s - loss: 0.6633
28736/50000 [================>.............] - ETA: 2s - loss: 0.6632
28992/50000 [================>.............] - ETA: 2s - loss: 0.6631
29184/50000 [================>.............] - ETA: 2s - loss: 0.6631
29440/50000 [================>.............] - ETA: 2s - loss: 0.6630
29696/50000 [================>.............] - ETA: 2s - loss: 0.6629
29952/50000 [================>.............] - ETA: 2s - loss: 0.6628
30208/50000 [=================>............] - ETA: 2s - loss: 0.6628
30464/50000 [=================>............] - ETA: 2s - loss: 0.6627
30784/50000 [=================>............] - ETA: 2s - loss: 0.6626
31104/50000 [=================>............] - ETA: 2s - loss: 0.6625
31424/50000 [=================>............] - ETA: 2s - loss: 0.6624
31744/50000 [==================>...........] - ETA: 2s - loss: 0.6624
32000/50000 [==================>...........] - ETA: 2s - loss: 0.6623
32320/50000 [==================>...........] - ETA: 2s - loss: 0.6622
32640/50000 [==================>...........] - ETA: 2s - loss: 0.6622
32960/50000 [==================>...........] - ETA: 2s - loss: 0.6621
33216/50000 [==================>...........] - ETA: 2s - loss: 0.6620
33536/50000 [===================>..........] - ETA: 2s - loss: 0.6620
33856/50000 [===================>..........] - ETA: 2s - loss: 0.6619
34176/50000 [===================>..........] - ETA: 2s - loss: 0.6619
34432/50000 [===================>..........] - ETA: 2s - loss: 0.6618
34752/50000 [===================>..........] - ETA: 2s - loss: 0.6618
35008/50000 [====================>.........] - ETA: 2s - loss: 0.6617
35328/50000 [====================>.........] - ETA: 2s - loss: 0.6617
35712/50000 [====================>.........] - ETA: 2s - loss: 0.6617
36032/50000 [====================>.........] - ETA: 2s - loss: 0.6616
36352/50000 [====================>.........] - ETA: 1s - loss: 0.6615
36672/50000 [=====================>........] - ETA: 1s - loss: 0.6614
37056/50000 [=====================>........] - ETA: 1s - loss: 0.6614
37376/50000 [=====================>........] - ETA: 1s - loss: 0.6614
37696/50000 [=====================>........] - ETA: 1s - loss: 0.6613
38080/50000 [=====================>........] - ETA: 1s - loss: 0.6613
38464/50000 [======================>.......] - ETA: 1s - loss: 0.6612
38784/50000 [======================>.......] - ETA: 1s - loss: 0.6611
39168/50000 [======================>.......] - ETA: 1s - loss: 0.6610
39616/50000 [======================>.......] - ETA: 1s - loss: 0.6610
40000/50000 [=======================>......] - ETA: 1s - loss: 0.6609
40384/50000 [=======================>......] - ETA: 1s - loss: 0.6609
40768/50000 [=======================>......] - ETA: 1s - loss: 0.6608
41152/50000 [=======================>......] - ETA: 1s - loss: 0.6608
41472/50000 [=======================>......] - ETA: 1s - loss: 0.6607
41792/50000 [========================>.....] - ETA: 1s - loss: 0.6607
42112/50000 [========================>.....] - ETA: 1s - loss: 0.6607
42560/50000 [========================>.....] - ETA: 1s - loss: 0.6606
42944/50000 [========================>.....] - ETA: 1s - loss: 0.6605
43328/50000 [========================>.....] - ETA: 0s - loss: 0.6605
43648/50000 [=========================>....] - ETA: 0s - loss: 0.6604
43904/50000 [=========================>....] - ETA: 0s - loss: 0.6604
44160/50000 [=========================>....] - ETA: 0s - loss: 0.6604
44416/50000 [=========================>....] - ETA: 0s - loss: 0.6603
44736/50000 [=========================>....] - ETA: 0s - loss: 0.6603
44992/50000 [=========================>....] - ETA: 0s - loss: 0.6602
45248/50000 [==========================>...] - ETA: 0s - loss: 0.6602
45568/50000 [==========================>...] - ETA: 0s - loss: 0.6602
45888/50000 [==========================>...] - ETA: 0s - loss: 0.6601
46144/50000 [==========================>...] - ETA: 0s - loss: 0.6601
46400/50000 [==========================>...] - ETA: 0s - loss: 0.6600
46720/50000 [===========================>..] - ETA: 0s - loss: 0.6600
47104/50000 [===========================>..] - ETA: 0s - loss: 0.6600
47424/50000 [===========================>..] - ETA: 0s - loss: 0.6599
47680/50000 [===========================>..] - ETA: 0s - loss: 0.6599
