D:\Programs\Anaconda3\python.exe D:/Workspace/PycharmProjects/vae-master-thesis/VAEsInKeras/mnist.py
Using TensorFlow backend.

Train on 55000 samples, validate on 5000 samples

Epoch 1/50
  256/55000 [..............................] - ETA: 4:02 - loss: 0.6931OMP: Info #250: KMP_AFFINITY: pid 14412 tid 10644 thread 16 bound to OS proc set 0
 6144/55000 [==>...........................] - ETA: 2s - loss: 0.0101
 7680/55000 [===>..........................] - ETA: 2s - loss: 0.0101
 8960/55000 [===>..........................] - ETA: 2s - loss: 0.0101
 9728/55000 [====>.........................] - ETA: 2s - loss: 0.0101
11264/55000 [=====>........................] - ETA: 2s - loss: 0.0101
12544/55000 [=====>........................] - ETA: 1s - loss: 0.0101
13312/55000 [======>.......................] - ETA: 1s - loss: 0.0101
14848/55000 [=======>......................] - ETA: 1s - loss: 0.0101
15360/55000 [=======>......................] - ETA: 1s - loss: 0.0101
16896/55000 [========>.....................] - ETA: 1s - loss: 0.0101
18176/55000 [========>.....................] - ETA: 1s - loss: 0.0101
19456/55000 [=========>....................] - ETA: 1s - loss: 0.0101
20992/55000 [==========>...................] - ETA: 1s - loss: 0.0100
22528/55000 [===========>..................] - ETA: 1s - loss: 0.0100
23296/55000 [===========>..................] - ETA: 1s - loss: 0.0100
24576/55000 [============>.................] - ETA: 1s - loss: 0.0100
25600/55000 [============>.................] - ETA: 1s - loss: 0.0100
27136/55000 [=============>................] - ETA: 1s - loss: 0.0100
28672/55000 [==============>...............] - ETA: 1s - loss: 0.0100
29440/55000 [===============>..............] - ETA: 1s - loss: 0.0100
30976/55000 [===============>..............] - ETA: 1s - loss: 0.0100
32512/55000 [================>.............] - ETA: 1s - loss: 0.0100
33024/55000 [=================>............] - ETA: 1s - loss: 0.0100
34560/55000 [=================>............] - ETA: 0s - loss: 0.0100
36096/55000 [==================>...........] - ETA: 0s - loss: 0.0100
36608/55000 [==================>...........] - ETA: 0s - loss: 0.0100
38144/55000 [===================>..........] - ETA: 0s - loss: 0.0100
39424/55000 [====================>.........] - ETA: 0s - loss: 0.0100
40704/55000 [=====================>........] - ETA: 0s - loss: 0.0100
42240/55000 [======================>.......] - ETA: 0s - loss: 0.0099
43776/55000 [======================>.......] - ETA: 0s - loss: 0.0099
45312/55000 [=======================>......] - ETA: 0s - loss: 0.0099
46848/55000 [========================>.....] - ETA: 0s - loss: 0.0099
48384/55000 [=========================>....] - ETA: 0s - loss: 0.0099
49664/55000 [==========================>...] - ETA: 0s - loss: 0.0099
51200/55000 [==========================>...] - ETA: 0s - loss: 0.0099
51968/55000 [===========================>..] - ETA: 0s - loss: 0.0099
53504/55000 [============================>.] - ETA: 0s - loss: 0.0099
54528/55000 [============================>.] - ETA: 0s - loss: 0.0099
55000/55000 [==============================] - 3s 48us/step - loss: 0.0099 - val_loss: 0.0096
Epoch 8/50

  256/55000 [..............................] - ETA: 2s - loss: 0.0097
 1792/55000 [..............................] - ETA: 2s - loss: 0.0096
 3072/55000 [>.............................] - ETA: 2s - loss: 0.0096
 3840/55000 [=>............................] - ETA: 2s - loss: 0.0096
 5120/55000 [=>............................] - ETA: 2s - loss: 0.0096
 6144/55000 [==>...........................] - ETA: 2s - loss: 0.0096
 7424/55000 [===>..........................] - ETA: 2s - loss: 0.0096
 8704/55000 [===>..........................] - ETA: 2s - loss: 0.0096
 9216/55000 [====>.........................] - ETA: 2s - loss: 0.0096
10752/55000 [====>.........................] - ETA: 2s - loss: 0.0096
12032/55000 [=====>........................] - ETA: 2s - loss: 0.0096
13312/55000 [======>.......................] - ETA: 2s - loss: 0.0096
14592/55000 [======>.......................] - ETA: 2s - loss: 0.0096
16128/55000 [=======>......................] - ETA: 1s - loss: 0.0096
